rid,stars,date,text
1459723,3,2012-05-30,"I would give this place three and a half stars, but probably not four. It's a nice location right on State Street, and the restaurant features an outdoor patio and indoor tables that also provide outdoor views framed by large steel-barred windows, which both charmed and frightened me. The place was practically empty when my girlfriend and I walked in, but that was probably because it was 5:30 on a Tuesday. Apparently Tuesday is Family Night, when children get free or practically free food, but since neither one of us had kids, we brooded a bit about society's privileging of breeders over barren folks. To mollify myself, I ordered a glass of Montepulciano, which wasn't bad, but they served it in one of those puny chintzy diner glasses instead of the big crystal fishbowls that make red wine taste extra fine. 

The bread was on the stale side, though great to dunk into the elixir of olive oil, fresh garlic, and parmesan shavings. My friend's vegetable lasagna came topped with steamed spinach, which she promptly tossed aside (which I then tossed into my mouth--it wasn't bad, just a tad mushy), and the noodles, ricotta, and sauce were good enough, though the zucchini and yellow squash seemed overly boiled. My linguine in tomato sauce featured two golfball-sized homemade meatballs, which were, again, not bad, but the pasta wouldn't qualify as al dente and frankly the dish was overpriced. The spumoni we shared (cuz, hey, Lydia's from Jersey!) went down easy, but overall, there wasn't much wow to the food."
1469105,1,2012-07-02,"This place should be avoided! The location is clearly the only reason it has business - I can't imagine any local would ever go here, it's nothing but a tourist trap.  The chicken parmigiana I ordered was so dark and oily - it was completely disgusting.  It felt like it was cooked in old oil.  The pasta underneath it was fine - but the chicken on top rendered the whole dish unappetizing.  The service wasn't terrible, but it was the kind of place where you're very aware of what you need at all times - we had to ask for water, look around for the server, ask for the check twice, etc., etc.   

And the best kicker - it's expensive to boot!  

Just don't. Trust."
1477974,4,2013-06-25,"I grew up coming to Aldo's in Santa Barbara (since I was 15). It was the only italian restaurant my parents wanted to go to every weekend. It's centered right on State St. with a cute little outside patio so you can watch the town go by while dining. All I can remember from this place was the olive oil and bread and great, friendly service.

While that hasn't changed the food may have. Perhaps my pallette has changed, but it was not what I expected on a recent visit. I really enjoyed the caesar salad. We ordered a garden pizza which was thin crust, but left much to be desired. The chicken/pesto raviolli was OK. The sauce was very lemony and sour, but the chicken was better. I was not too much of a fan. 

Again, service excellent and the heart and location is there. Maybe another dish would have been better? I'll probably go back for nostalgia's sake."
1479923,1,2012-06-30,"Creepy and crappy.  Bland and tasteless. Pizza crust like frozen pie. Bad choice, keep looking"
1484300,4,2013-05-31,"Had the shrimp and calamari in puttanesca sauce for an appetizer--5 stars.  The salmon cilantro was four stars, not as fresh as the shrimp.  Prices were reasonable for a nice dining experience on the patio on a gorgeous Santa Barbara evening."
1486643,4,2012-07-22,"Had a wonderful dinner tonight with my daughter.  From bay area and accustomed to great restaurants. Sat outside on patio and people watched.  Daughter had the farmers salad with grilled chicken....super delicious.  I had the red snapper special.  Beautifully plated, unusual presentation, and absolutely fabulous. Very unusual and snapper was exquisite.  Serve was helpful and lovely. Restaurant completely packed.  Can't imagine the bad reviews. Look forward to dining here again.
P.S. The food at other tables looked delicious too!"
1487424,3,2013-04-13,"It was good. The food did not leave a huge lasting impression, but I like the atmosphere."
1496537,1,2013-06-25,"We tried this place on Sunday night, around 7:30 p.m.  First we sat in the outside patio area, thinking it would be pleasant with the nearby heater and street-side ambiance.  Unfortunately, the noise level was distracting, then someone started playing a harp.  Normally we enjoy hearing harp music, but this was gratingly loud.  After waiting a very long time for anyone to come over to our table to even give us a glass of water, we chose to go inside, hoping to get away from the noise of the street and the harp, and to get some service.  Another mistake.  The indoor area had loud irritating music playing from somewhere (not the harp).  Still had to endure another wait, and finally got someone to take our order.  Then another person came to our table with bread and water.  Eventually a third person came out with our orders.  The soups we ordered were very good in flavor, but served lukewarm.  The warm garlic bread was warmer than the soups.  
Why the place was so crowded, we can't figure out, unless all the customers were first-timers like us.  With service and ambiance like we experienced, we definitely won't go back on future trips to Santa Barbara, and will not recommend it to anyone.  
I'm giving one star for the flavor of the foods we ordered, but that's the only redeeming quality we experienced."
1512881,3,2012-03-06,"I went this place for lunch and used groupon.
We ordered steak/pork chop/soup.
It was good, but waitress were rude. 
Nice place and resonable place."
1533069,5,2013-06-28,"I read some of the reviews below and was a bit afraid to venture back to Aldo's after ~5 year haitus.  But, thank goodness I did.  Perhaps it is improvements implemented by the recent change of owners or maybe there are crazy reviewers simply out to misrepresent this establishment....whatever the case, my wife, 2 kids, old family friend and I had the most amazing evening last night at Aldo's....the food and ambience were perfect!   A terrific location with both an inside and outside eating area.  I am a gourmet and wine enthusiast and found the food to be superb.  The wine list is not extensive but my Daniel Gehrs Syrah was superb and well priced.  We started with fresh, hot bread accompanied by extra virgin olive oil with slivers of garlic...DELICIOUS!  My kids enjoyed coloring the kids menu which came with crayons (unusual for a higher-end Italian experience) and my daughter's chicken fingers came with the most succulent shoestring fries.  It does seem that the menu focuses on sauces...all of which were superb.  I had the porkchops with savory cherry sauce...both unusual and excellent, my wife had the Salmon with cilantro-based dressing (the Salmon was perhaps the best cooked I have EVER had), our family friend enjoyed the best meal on the table...fettuccine di mare (with a sauce that I believe had a light dairy base) which was not too heavy but contained a flavorful sauce and ample amounts of fish, scallops, and shrimp.  For dessert, they served my girls McConnell's ice cream with a few special touches of cherries and whipped cream.....and the adults enjoyed the Creme Brullee.  YUM!  I grew up in Santa Barbara, loved Aldo's as a child, and feel like Aldo's has finally been renewed after some lack-luster years.  We'll be back with guests and look forward to telling our Santa Barbara family in hopes that they'll return to this romantic but family-oriented gem!"
1534777,2,2013-09-11,Skip this restaurant. The Caesar salad had little flavor and the ravioli that I had as an entree was pre bought and were flavorless as well. Go to trattoria Vitoria instead.
1541096,2,2013-10-11,"I am giving this restaurant two stars because we loved our waitress-- she was funny, attentive, and honest. The food however is a 0 star.

Why the food was awful: 

The dinner bread they brought to the table was stale.

The pasta isn't made in-house. When I asked after having a bite of the lukewarm lasagna, the waitress was funny and said, ""I wish we made our pasta fresh! The kitchen is just too small."" I swear my lasagna was microwaved, but since I liked our waitress I was afraid to ask. It was plain and uninspiring.

My partner had a salmon dish that was very bland. It came with a frozen vegetable medley side that had zero flavor, and some boxed mashed potatoes. To make up for this flavorless cafeteria food, a cilantro gravy was generously slopped onto the plate.   

To top it all off the prices are obscene for the quality of food. I could name 20 restaurants within walking distance from Aldo's that you will have a better meal at, but you have Yelp! and can figure it out on your own :)"
1550115,1,2013-05-15,"We came here for lunch last summer in July.  But I think we have to write our experience here as an alert for everyone.

Sure, my wife's parents traveled from a foreign country and we stopped by Santa Barbara   But having some foreign guests doesn't mean you could gouge us like crazy. I couldn't find my favorite restaurant in downtown so I had to come in here and settle.  Big mistake.

We ordered some drinks and also asked for 1 hot water.  The waitress did not mention anything out of the ordinary and brought us hot water (just hot water) in a pot.
We ordered some pasta (1 meatball pasta and 2 seafood pasta and a ravioli I think) and a sandwich.  The pasta was bland, the meatball was yucky, the seafood taste frozen, overall I would rather eat cafeteria pasta than these.  Food was not great, service was somewhat lacking.  At this point, we felt like let's pay for falling for this tourist trap and leave.

Now here comes the great part: they are charging us 18% service fees for having a party of 5.  It wasn't written anywhere in the menu or restaurant nor did they mention to us beforehand, but they charged it.  I could understand if it's a party of 6 or 8 or 10, but they said they charge 18% for any party bigger than 4. Or maybe they made it up just because we look like foreign tourists.

And they also charged us for TEA because they brought some hot water to us.  When I asked, why did you charge me tea when I did not even order it... if you charge us where is the tea-bag, tea leaves, creamer or even sugar?  The waitress said ""Oh I could bring those now"". What?  This is so ridiculous, but I figured that by the time she took off the charge for the tea, I would have to pay about the same amount for parking, so I just let it go.

The note for everyone is:  read Yelp and find a better restaurant, otherwise if you have money and want to get gouged come here.  There are many reviews saying there are new owners, but seeing all the 1-star and 5-star ""new owner"" reviews crisscrossing each other, I highly doubt it."
1550640,1,2013-03-03,"This Restaurant ruined the end of a great mother - daughter weekend  for a large group to eat there. First my daughter had found a Groupon special, so I called and asked Brad the owner if he could let me know if he would  honor it before I bought, he said he would. But when we got there we were told my daughter & I we could not use it.
Then our group was told he had a special menu for our group at a special price. We were able to chose from three pre selected item & when we got the bill ours ""special"" price was  that each plate was  double the price of the item on the regular menu!!! What a ripe off!!  
Plus at our table of seven where we received poor service &'warm water, our waitress had added a $58 tip. By the way, she was Brad the owner's daughter. 

I am asked by many people that know I visit Santa Barbara often where is a good place to eat. I will assure you I will make a point to tell people, small or large groups to STAY AWAY FROM ALDO'S RESTAURANT"
1557962,1,2013-02-07,"I've lived in Santa Barbara for 14 years and I can honestly say this is probably the worst food I've eaten here. 

The bread was flavorless and the olive oil tasted off. 

I ordered the filet mignon with mashed potatoes and vegetables.  It was $35.

 The potatoes were clearly several days old. You know how when you microwave Thanksgiving leftovers a day or so later, and the mashed potatoes have a crumbly texture instead of a whipped creamy texture? If you do, then you know what these mashed potatoes tasted like. Also, they were barely warm in some places. 

And the vegetables. They smelled so bad I almost gagged.  I honestly don't know how you could make carrots and zucchini taste that bad. 

The filet was mediocre and the only nice thing I can say about the sauce is that it helped mask the offensive flavors of the side dishes. 

My husband ordered the flat iron steak and had similar comments. 

We both left with a stomach ache that cost us $90. I feel like such a sucker."
1579775,4,2012-02-12,"Yummy neighborhood restaurant, in the middle of downtown. The food is tasty and clean, good ingredients. Pleasant atmosphere."
1586658,2,2012-03-12,"This was my first visit to Aldo's under its current owner. I was not impressed. I had some kind of pasta in ""pesto"" sauce which was actually pasta drowning in a little pesto and a lot of lemon. I've had better meals at Presto Pasta!! The bread basket they placed on our table was kinda dry and not even warm. The waitress told us they were rushing everyone since there was some kind of show going on at the Granada. Well, we weren't going to the show, couldn't we enjoy our meal? I won't be going back. On the other hand my boyfriend really liked his meal - he had the surf & turf."
1594051,4,2013-07-24,"I have found the food to be quite delicious on my visits there. I have had the pasta del mar (or something close to that name) which is exquisite, as well as the spaghetti and meatballs which is pretty good. I would highly recommend"
1595902,5,2012-01-12,love the new menu .brad has done a great job making locals feel welcome.
1600895,2,2013-11-27,"This place is just like olive garden.  
carbs drenched in olive oil and tomatoes- 
just hasn't been franchised yet."
1603800,5,2013-07-06,"I don't know why this place has some bad reviews - I went here with my family on the 4th of July from out of town and there were 6 of us with some picky eaters.  We all really enjoyed everything - in fact, I loved my food!!  

I liked the truffle fries and I thought the Japanese Pumpkin Ravioli was super yummy and had a great sauce/flavor.  Also - the portions were not too big, they were actually filling without being too much.  I tried some of everyone's dinner and I thought each entree had a great flavor.  I would definitely come here again!"
1607723,4,2012-10-22,"Dinner was terrific, the server was friendly and efficient and the patio was charming.  The price was right too!"
1609278,2,2012-05-14,"A friend picked this place for dinner and although I read the reviews on Yelp that weren't too pleasant, I went into this place very positive and open minded. You never know, maybe people have high standards and the restaurant is actually really good? 

I have to say the service was pretty good. Our server was nice and attentive. We got a table without a reservation as soon as we got there. 

I'm not really sure how anyone could like the food at this place. It's clearly a tourist trap. The food is very blend and some of it even disgusting. I took a bite of mussels and had to spit it out in my napkin, because it tasted like it has gone bad. I'm not a complainer and didn't want to ruin my friend's dinner, so I didn't say anything. The vegetarian pasta I had was okay, but lacked flavour, so I had to add some olive oil and salt to make it taste somewhat okay. I was hungry so I had to eat. After all this place is not cheap either. 

Bottom line: Probably the worst Italian food I've ever had. :("
1613257,1,2012-05-13,"This was not a great experience. The waiter was terrible and the food was worse! In my opinion it is pretty hard to screw up Italian food, but this place managed to do exactly that. The appetizer came out and the ravioli was frozen! My girlfriend and I split the linguine and meatballs which tasted like cheap grocery store marinara with packaged noodles and a semi warm meatball on top. We will not be returning! Oh yeah-- the bathrooms are in the kitchen!! I don't think I even need to elaborate on that..."
1620528,1,2012-02-20,"Unless you feel like spending your weekend with food poisoning, STAY AWAY!

My Boyfriend and I spent our two year anniversary in Santa Barbara this year, and were super excited to try Aldo's. I even emailed to make reservations about a month ago. Well Saturday night comes, and we arrive for our reservation a little early. About 5 minutes after being seated, we place our order. (We'd already decided on what we wanted before hand) This is where the fun began.

1) An older couple was seated next to us and waited roughly 20 minutes before placing their order, but received it long before we did.
2) We overheard a group behind us ask the waitress if they could please order something else, since the chicken they ordered was COMPLETELY raw..... 
3) My salmon and my boyfriends steak took roughly an hour and a half to be served to us. (They were not overly busy)

My salmon was drenched in sauce, I can only assume after the fact to hide it's rotten taste, because I wasn't even half way through it and I felt TERRIBLE. My Boyfriend had one bite of it and he started to not feel very good either. His steak was way overcooked, and tasted extremely bland. Another strange thing we noticed was just how often, at least 10 times, we were asked how the food was. Once or twice, okay. But it was as if they knew damn well what they had served us was ill. By the time we left the restaurant it was full blown food poisoning for me. Happy Anniversary! 

Needless to say, we will NEVER be returning to this place again, nor would we wish it on our worst enemy. Good riddance Aldos."
1626698,1,2012-02-13,"Terrible service. Took an hour honestly for our food to be made. They made it seem like they didnt want to serve us breat. Poor experience, go somewere else"
1631128,3,2012-09-24,Don't get the steak... My replacement dish was good and the staff was extremely nice... especially the owner.
1639485,5,2013-04-23,"Good services, good food (give the parm fries a try!), and gotta love the outdoor patio seating. A little on the expensive side, but worth the patio."
1641137,2,2012-11-02,"I really wanted to like this place because they give back to the community, which I appreciate.  But I didn't.  I fear for restaurants like this (e.g., Mimosa, just shuttered, also on State) that have mediocre food and high prices. We were there on a Tuesday and it was basically empty. Service was fine, but food sub-par.  I had the pork chop ($20), which was a standard size (not thick as I would expect), covered in a gloppy cherry sauce that overpowered the dish.  Mashed potatoes and veggies were ok but bland.  My wife had the scallops ($23), which were small and not tasty.  Bread was as someone else said, straight from Ralph's. Just way too much to pay for a so-so meal."
1642327,5,2013-11-30,"Just walking up and down State st. Looking for a nice place to eat. We picked Aldo's cause the patio looked so cozy, and it was. I'd come back again next time we pass through town. The sauce with the mussels was amazing! We also had crab cakes, scallops and a fettucini. The only thing negative I could say is I didn't love my wine choice, the house Pinot. Our waitress was great too, very soft spoken but attentive.  Ill be back."
1642980,1,2012-09-26,"I don't like giving bad reviews, but the food just wasn't very good at all."
1650430,1,2012-05-21,"I knew that Aldo's was under new ownership, so I gave it a try.  I don't think I will
return.  The service was mediocre at best.  When our waiter wasn't around and
we needed something, which seemed to be the case, 3 other employees stood
around literally doing nothing.  The food was not good.  The salad seemed like
it came from a bag (not fresh), dressing also not homemade, and if it was, they
need a new recipe.  Overall the experience was bad.
I am a local who used to work in the business and I know the owner.
He is a great guy and I hope he will look at this as positive criticism."
1653709,3,2012-05-18,"Showed up right when they were opening for lunch. Sign said to pick a seat. We sat on the patio. Watied over 5 minutes for anyone to greet us. I finally went inside and found an unfriendly server. He came out with menus after a few more minutes. 
Ordered the blackened chicken salad. Large portion and was tasty. 
The patio location was very  nice! Enjoyed the food and atmosphere, just didn't really have great service."
1661669,2,2012-07-11,"Service and atmosphere was nice  and our waiter was concerned about whether we enjoyed our food but YIKERS!....the food is really not too good. I don't understand how I always see this place crowded. Perhaps the local and the tourists. 

The steak was cooked nicely, but the ""chimichuri"" was on the side so did not impart any flavor and didn't taste like chimichuri. The topping on the steak didn't go with the dish. 

But, more importantly, DON'T order the scallops. They were awful. The dish is $24.95 and came with about 5 very small, unseared scallops swimming in a pungent wine/fishy-tasting broth. The broccoli spears thrown in didn't add any flavor or make any textural sense. The tasteless polenta in the center certainly didn't help anything. Felt like an amateur cook just used what he/she had in the fridge. Really frustrating to pay that much for something I'd be embarrassed to make and feed myself with no witnesses. Judging by the reviews, I don't think this was an off night."
1667670,1,2013-10-20,"After reading the reviews from everyone else most of everyone complained about the food, service, and EXTRA Charges. Went to this place on 10-18-13. I have to say the owner of this restaurant loves to charge any type of extra fee he can. They charge $15 for sharing a plate, they charge 18% gratuity for a party of 4 or more, they gave us extra plates and got charged $18, we brought our own champagne and glasses and serviced  and cleaned up by us not the employees we got charged $30. So if you want to visit this restaurant be careful don't ask for an extra fork or a refill on your water you will get an extra charge on your bill. I visit Santa Barbara monthly with friends and family and I will make sure no one I know will visit this restaurant."
1671111,1,2013-04-05,"The reason I am giving them 1 star are as follows:

- Have to ask for bread (other customers didnt have to wait 10 minutes or as for it)

- Didnt bother on making any recommendations, as to what is good

- Food I ordered (Ravioli Rosa) was swimming in this overly salty broth, instead of sauce

- Not once did the hostess checked back on us on how our food is  (again, we are oblivious to them; they DO check on other customers)."
1677399,3,2013-04-29,"Ordered three dinner entrees and a bottle of wine for a group five. 
We were all going there for a lighter dinner and since we did not order 5 entrees, they wanted to charge us a service fee. Rubbed me the wrong way and I would not recommend this place for a ""family"" style type of dinner.  

Atmosphere is nice and ambiance was charming. Service was inviting and efficient and our entrees were tasty."
1678776,5,2012-04-17,"I have a super soft spot in my heart for Aldo's.  Its very romantic atmosphere, good food, and helpful servers get me.  Plus I love Italian food and they do a good job.  Their olive oil that they serve with the bread is amahhhhhzing.  I don't know what they do to it, but it's fantastic.  I am a vegetarian, so I can't judge the meat dishes, but everything I've had from gnocchi to eggplant has been delicious."
1679660,1,2012-12-22,Horrible waitress... She told us she would charge us $15 to split a plate if anyone wanted to share a dish. I asked her if I had a bit of my friends pizza if she would charge me and she said yes! Really? I could tell she was from. The east coast... She was blunt and came across as rude. We were there for a burial party brunch and she was not accommodating  at all. She informed us that we all had to order food otherwise we were wasting her outdoor space.  Really? I think a bunch of cute 20 something's would make the place look a little better with people actually sitting at the restaurant. Because of her rudeness I would never go back. Ever. And the food was not very good.
1686975,5,2013-02-08,"The new owner has worked very hard at listening to the feedback and making any necessary improvements and I just wish the negative reviews could be deleted. Someone who had a less-than-stellar experience six months ago will find a meal, atmosphere, and service that they will not be able to badmouth now. 

The food is excellent, the ambiance is delightful, both in the courtyard and indoors, the service is attentive without giving you the sense of being invaded or hovered over. Reviewers who just make mean comments because they can, this being the anonymous Internet, just make themselves look bad. Better to post constructive criticism, I feel. At any rate, I have no criticism at all! 

Last night's meal was excellent, the wine suggested was right up my taste buds, we were well taken care of and, most importantly, the food was delicious. This restaurant has been around a very long time and it has undergone a wonderful renaissance. If you do try it and something is less than perfect (oh my, you're upset because the bread isn't the best bread you ever had in your life...?), then just ask to speak to Brad about it. He will hear you!"
1690409,4,2013-11-12,"The outdoor seating in the patio under a nice warm heat lamp in the slightly chilly night is quite pleasant. The waitress was friendly but she was slow and didn't refill my drink. The seafood linguine was the special of the night. It tasted fine and normal -- nothing spectacular. An appetizer, entree, and two drinks came out to be about $50 with t&t."
1694609,5,2013-03-16,"My husband and I ate here because we were walking by and the patio had such a nice atmosphere about it we couldn't help but eat here. My husband even hates Italian food but he wanted to eat here because it was so lovely with the waterfall, heaters, and soft lounge music.  We were very happy to see it was well priced and had a lot of vegetarian options.  The food was really good, so good my husband liked it.  We had the tiramisu for desert and it was five star fantastic! They also have a really good well priced wine list. Very nice romantic night."
1696131,4,2013-01-20,"Great service and excellent food. I don""t understand all the negative reviews. We had a great time. Oh..ok, the bread was just average."
1700037,2,2012-09-08,"Tourist trap, and I fell right in.  Guilty.

Hm, not sure where to begin on this one.  So let's start off with the bread.  The bread is straight off the shelf of Ralph's, and the olive oil with garlic is 100% pure garlic.  It was painful to even taste, so I asked for marinara sauce.  Oh, but that came at the price of $2 and 30 minutes.

Quickly decided I needed a drink, and what better to suit a Sunday holiday afternoon than the classic bloody mary.  That can't be to hard, right? Wrong.  It was a watery (and incredibly bland) tomato-like juice with perhaps a drop or two of vodka.

Onto the pasta and salad, perhaps on par or worse than the bloody mary.

I wish I had read the reviews before coming, so hopefully you'll take my word for it and save your $40+ dollars on a meal here."
1700487,4,2012-09-08,"I don't know what previous reviews are talking aobut regarding the bread and olive oil.  It was fantastic - I absolutely loved the garlic and the bread was scrumptious.   Our meals were also delicious, the staff was great and we had an wonderful lunch."
1700738,2,2013-01-21,"I spent this dinner with my boyfriend and another couple in one of those awkward, half-booth, half-chair tables squished in the middle of the tiny restaurant. I ordered the linguine and meatballs and got all of 2 meatballs... TWO! So, if you find yourself on this block of State St. and hungry for italian food, skip Aldo's and head directly across the street to Palazzio where the portions are huge and the atmosphere is fun and not claustrophobic."
1702169,1,2013-11-18,"Purchased a coupon through TravelZoo and didn't use it in time for the offer. Paid $50 for $100 of food and a bottle of wine. I wasn't upset that i couldn't redeem this coupon because it was my fault for not redeeming during the coupon time frame, HOWEVER if i paid $50 for this i expect to redeem this AT ANY TIME.!!! The Manager said since it was a Saturday i couldnt redeem what i paid for!! WTH????

The waitstaff and MANAGER (Females) seemed to be prejudice..We had bad service, plus food isnt that great. It was my 1st and LAST time there. I let the Manager know that i was not happy, She said ""OK"" and left it at that....they didnt do anything for me to get anything free or a discount to redeem my $50 i paid for so WTH was the problem. It should have been treated as if i bought a $50 gift card. They dont honor Saturday's for dinner on these offers is fine, but i could no longer get the offer. I just wanted what i paid for. 

I hate this place!! Should have just gone across the street to Palazzio soooo much better!!!"
1703124,1,2012-06-17,"I was recently at this restaurant with my family for my mothers birthday. I had been warned that the service wasn't that great, but I had made the mistake of purchasing online coupons prior to going there. Upon arriving It was brought to my attention that I couldn't use both the voucher and coupon during the same visit which is understandable, but the attitude I received from Megan their manager on duty, was very short and uninviting. We ended up leaving and this empty restaurant seemed just fine with that. In conclusion, I am the type of person that when I go out to eat and spend my money I expect to be treated in a friendly welcoming manner, this place is not like that at all... I have even received friendlier service and at least a smile from the employees at McDonald's. This should not be a stop for anyone on vacation considering how many amazing restaurants exist in this beautiful town."
1713278,3,2012-02-22,"Ok, so this is again an over all of 3 starts.

Went here with groupon, up to 42 dollars you can get the food here.

Food was really good. Steak in rare was perfectly cooked and fries were well seasoned. Ravioli rosa was good with addon of scallops.  Sword fish soup was also good.

However, with the groupon purchase, the ""service charge"" was 18%, mandatory. Plus, the waiter who took our order didn't mention that the sword fish soup was over the ""side soup limit"".

Overall the food was great but I'm not going to come back again."
1714278,4,2012-05-18,"My GF and i are in town on a mini vacation and stopped by here for an early dinner. It was very good. The bread was fresh and warm, the oil for dipping was excellent,tons of garlic and hi grade olive oil. I had the pesto salmon, very tasty. The sauce was good not to overpowering and the mashed potatoes were some of the best i've ever had, very creamy. My gf had a ceasar salad which i tasted and was very good and the linguine carbonara and she liked it also. The waiter was very nice and attentive. We had a nice expierience here."
1714910,4,2013-08-26,"My best friend and I stopped by here for a quick lunch.  

I was rather disappointed with my $6 glass of moscato, which was pretty much just a mouthful of moscato, but the food was pretty decent. 

The olive oil garlic dip pairs very well with the fresh warm bread they serve.  I also enjoyed their tiramisu.  Had their linguini di mare and it was pretty good.  I believe it was $13.95 for my entree.  Came with a bunch of scallops, three whole shrimps and a couple pieces of salmon.  Wish it came with more shrimp or salmon (I know those are pricier), but I believe it was worth the $13.95."
1722590,1,2013-03-06,"TERRIBLE service, very overpriced and average quality food"
